,sector,review_count,sentiment_unsafe,sentiment_crime,sentiment_positive,sentiment_sum,area,crime_count
154,N70,127,-0.0007800657905805894,-0.0067957679082546185,-0.024506513392402215,-0.03208234709123744,827992.8851971611,5322.0
155,N77,23,-0.002315571537539501,-0.004697611910710298,-0.036490061692535866,-0.04350324514078565,524088.10910372215,2749.0
156,N79,67,0.0003328610524354031,-0.0039391533292626535,-0.04357923943383019,-0.047185531710657445,915342.8936523034,4413.0
157,N87,89,0.0010429912289763386,-0.004839244608754013,-0.047980076771178416,-0.05177633015095611,826607.3961448459,3585.0
158,N89,50,0.00045208845208845203,-0.0042877590987261596,-0.04438868959884654,-0.048224360245484245,980761.0712119619,1899.0
159,N90,144,0.002968861154917752,-0.005861069051781655,-0.03828591826324195,-0.041178126160105834,3828861.627888955,5018.0
160,NW107,137,-0.0015182706524082062,-0.0027734381648419565,-0.04476922857632155,-0.049060937393571695,2913762.0486243083,4292.0
161,NW108,50,-0.0034621383927691545,-0.00822464254087098,-0.02032865033419259,-0.032015431267832725,1134986.8177458846,5808.0
162,NW11,130,-0.0004567897522575657,-0.004387602372935642,-0.04199901137410901,-0.046843403499302244,365201.7065944436,3440.0
163,NW119,177,-0.0019934766295085205,-0.00599628363757713,-0.022317312709126704,-0.030307072976212344,911961.9016375416,1785.0
164,NW12,1038,0.00033939783170653114,-0.00466773999830553,-0.04410611878874314,-0.04843446095534218,444751.5506189059,7107.0
165,NW13,190,-0.0005360141970584313,-0.005717797637156293,-0.04873256322531771,-0.05498637505953243,311145.7172603434,3928.0
166,NW15,34,-0.0022731242676107253,-0.005114081738054418,-0.035036080687775584,-0.042423286693440726,196551.3235131284,2838.0
167,NW16,583,0.00021485143743850012,-0.003810770539997566,-0.04388767041160783,-0.04748358951416688,287470.59922076704,3393.0
168,NW17,280,0.00040852251984677167,-0.0046663640468850255,-0.0435006956105976,-0.04775853713763585,480760.5415221473,10673.0
169,NW18,142,0.0015112082235154167,-0.011047591076222772,-0.041613762222535926,-0.05115014507524328,677654.8939849423,8268.0
170,NW19,136,0.0014924035404476606,-0.0027627570631875106,-0.03669475041917568,-0.037965103941915525,640682.8670714303,4364.0
171,NW21,140,0.0001603443116612853,-0.0029411017459009758,-0.040084330291067886,-0.042865087725307574,1939316.5208551518,4054.0
172,NW23,180,-0.0007196761276248031,-0.00476556734728282,-0.04620395789475985,-0.05168920136966749,728492.083424989,4719.0
173,NW31,7,0.0007363770250368188,-0.008809797611892984,-0.02811540774923767,-0.03618882833609383,544454.7801774374,1103.0
174,NW33,393,-2.9125923396598683e-05,-0.005291430310305792,-0.04044639201182723,-0.0457669482455296,696736.6411704958,2961.0
175,NW34,157,0.0011425855888171944,-0.002033159660577127,-0.04414564120266036,-0.04503621527442029,543214.6264679307,2596.0
176,NW35,130,0.0018139376943476378,-0.0032898490458763193,-0.04758426369301369,-0.04906017504454236,594754.4607122284,1863.0
177,NW36,229,0.0007650889495105914,-0.004112230472286341,-0.04512678680761694,-0.04847392833039267,637359.8279735114,3190.0
178,NW41,138,0.00020092698671133038,-0.0059696554623105405,-0.04616294832211021,-0.05193167679770942,1893308.4825387783,1321.0
179,NW43,130,0.0016037025195899351,-0.004834834711864453,-0.043031430696251004,-0.046262562888525524,1260967.7708304254,5438.0
180,NW65,170,0.00048770489868419324,-0.004238037482566178,-0.03461377236483851,-0.0383641049487205,660132.6012790137,3125.0
181,NW66,10,0.0,-0.006642857142857143,-0.026004726980336734,-0.03264758412319388,922644.1154602831,3893.0
182,NW87,126,0.0012397726992238098,-0.003920129641610546,-0.06060836037821695,-0.06328871732060368,518745.4671799015,986.0
183,NW96,140,0.0036632496090916906,-0.0024876161218214078,-0.0524949760916826,-0.0513193426044123,1198555.5514112543,1748.0
184,NW99,140,-0.0004459107996999976,-0.004628833439160387,-0.043289177276271615,-0.04836392151513202,1633661.5118728215,3603.0
185,RM11,97,3.597343616194526e-05,-0.004379749301174287,-0.037822638963856646,-0.042166414828868994,355417.1266592514,6599.0
186,RM113,49,-0.002623574164161223,-0.004805988412455663,-0.015531294710024018,-0.022960857286640907,4066910.107553737,1446.0
187,RM126,179,0.0008599127091093939,-0.004255551126402554,-0.041576440239941566,-0.04497207865723471,2501616.275997652,1223.0
188,RM13,288,-0.00021498269518785648,-0.004147327794490085,-0.04093096558309012,-0.04529327607276805,463567.8050905902,1952.0
189,RM25,50,-0.000503656914893617,-0.0071711330335114945,-0.03681672564611039,-0.044491515594515516,1945498.0543057974,1216.0
190,RM66,126,0.00030409526365165443,-0.006855498035271086,-0.04020207929000143,-0.04675348206162085,1905728.8194788771,2411.0
191,RM96,150,0.000352933382811443,-0.004230105761063606,-0.043228363172999856,-0.04710553555125202,4763098.109176725,5295.0
192,SE10,918,-2.1062719367524746e-05,-0.004400926256409676,-0.04738560298143599,-0.0518075919572132,428040.4988005799,4040.0
193,SE100,258,0.0009216783205055059,-0.0036067898579643645,-0.04643393540002751,-0.04911904693748638,2362240.093109954,7471.0
194,SE108,678,0.0010300156411533915,-0.003302088678318797,-0.04499512497919721,-0.04726719801636258,1791630.574951154,2237.0
195,SE109,250,0.00044221831927565515,-0.003557552879355879,-0.04385484189267724,-0.04697017645275748,917102.1994105695,5567.0
196,SE11,140,0.0013615311866406422,-0.004276364702627017,-0.04862531142239994,-0.0515401449383863,326827.2543789678,4899.0
197,SE114,4,0.0,0.0,-0.08881578947368421,-0.08881578947368421,732848.4917161824,4039.0
198,SE115,140,0.0009250156615937336,-0.003142017163723302,-0.051143011597131076,-0.053360013099260646,576758.1168263742,3461.0
199,SE12,174,0.0012105777779732364,-0.009899157769731756,-0.04850803894576875,-0.057196618937527276,532260.3566115967,5399.0
200,SE13,257,0.0011197788749864887,-0.0037541721144392234,-0.05413682503624721,-0.05677121827569995,578135.0942355695,4298.0
201,SE135,60,-0.00036397411411131874,-0.0049659744089568655,-0.052344530521565166,-0.05767447904463333,1195835.45763376,4213.0
202,SE15,117,0.0007990696889843781,-0.005926169003848669,-0.03994967449979521,-0.04507677381465952,972919.2366400723,5085.0
203,SE155,126,-4.6619057074393e-05,-0.004425743451331678,-0.03403759137900964,-0.0385099538874157,768671.8459437394,7871.0
204,SE165,130,-0.0005026116694555014,-0.004140802615526025,-0.04701546205722597,-0.05165887634220748,513795.5979112993,845.0
205,SE167,50,0.0012132227440650278,-0.005403376467065842,-0.0389583937613763,-0.043148547484377124,920715.5100999166,4624.0
206,SE17,1106,0.00029713210039355016,-0.003960535292627634,-0.051141853926131235,-0.05480525711836531,879680.0284968828,6624.0
207,SE173,59,4.524401366667733e-05,-0.00507598470395216,-0.03687423074161161,-0.0419049714318971,710356.8319812126,4760.0
208,SE18,780,0.0006374490939229575,-0.004447471277728027,-0.04955211006307008,-0.05336213224687516,495356.6373230581,5291.0
209,SE186,145,0.00153439809166113,-0.004018290633908513,-0.04630435356193954,-0.04878824610418694,1064001.829877386,8966.0
210,SE19,1037,0.001071909922864749,-0.0036532819077016027,-0.04895983407676974,-0.051541206061606636,547173.0510952326,7376.0
211,SE192,121,-0.0013464150883684088,-0.004172074506863779,-0.03223940553382753,-0.037757895129059714,1452156.314481286,2557.0
212,SE207,147,0.0033778571659473997,-0.003495868873509,-0.03794461667630049,-0.03806262838386209,1367384.087738181,3390.0
213,SE30,129,0.00042463205726422774,-0.003027715254946468,-0.051418995348794315,-0.05402207854647655,1831563.1065357276,2420.0
214,SE50,132,-0.0017570419911661964,-0.0037027550682942256,-0.029622035557374814,-0.03508183261683524,984025.7312687552,4916.0
215,SE58,199,0.0013732535062559574,-0.003600141068288237,-0.04245490499841016,-0.044681792560442433,1474160.980781984,4433.0
216,SE84,58,0.0007428725717495124,-0.004287580887175097,-0.04773667621956946,-0.05128138453499504,781744.4579477772,4249.0
217,SE91,17,0.0,-0.006560983526537549,-0.021383637910915076,-0.02794462143745263,2429815.4702115427,3367.0
218,SE95,2,0.0,-0.015625,0.0,-0.015625,2433311.659407188,2441.0
219,SM12,190,0.0004851532979353023,-0.005168846199490196,-0.04456067205503212,-0.04924436495658703,2068262.7868864804,2918.0
220,SM45,148,-8.032557595862651e-05,-0.003154229188631748,-0.042819359134631294,-0.04605391389922168,1881134.685992128,2567.0
221,SW100,130,0.00011106245208862182,-0.0034797803537121876,-0.04399032268533728,-0.04735904058696083,568990.542619491,3118.0
